Timestamp,R,IR,G
28/5/2025 14:44,201046,197410,392
28/5/2025 14:44,201042,197554,317
28/5/2025 14:44,201095,197624,347
28/5/2025 14:44,201121,197548,374
28/5/2025 14:44,201144,197551,351
28/5/2025 14:44,201202,197632,345
28/5/2025 14:44,201236,197636,375
28/5/2025 14:44,201296,197712,401
28/5/2025 14:44,201326,197707,377
28/5/2025 14:44,201431,197707,317
28/5/2025 14:44,201389,197747,369
28/5/2025 14:44,201525,197723,382
28/5/2025 14:44,201479,197688,334
28/5/2025 14:44,201568,197682,362
28/5/2025 14:44,201592,197745,357
28/5/2025 14:44,201571,197808,355
28/5/2025 14:44,201634,197754,315
28/5/2025 14:44,201630,197777,386
28/5/2025 14:44,201728,197770,389
28/5/2025 14:44,201679,197766,352
28/5/2025 14:44,201583,197726,371
28/5/2025 14:44,201648,197675,371
28/5/2025 14:44,201675,197752,344
28/5/2025 14:44,201687,197809,330
28/5/2025 14:44,201740,197846,360
28/5/2025 14:44,201732,197737,402
28/5/2025 14:44,201706,197782,349
28/5/2025 14:44,201840,197832,445
28/5/2025 14:44,201711,197812,452
28/5/2025 14:44,201754,197776,385
28/5/2025 14:44,201780,197828,423
28/5/2025 14:44,201757,197792,340
28/5/2025 14:44,201802,197844,345
28/5/2025 14:44,201814,197885,384
28/5/2025 14:44,201837,197852,352
28/5/2025 14:44,201881,197799,367
28/5/2025 14:44,201905,197830,376
28/5/2025 14:44,201936,197843,368
28/5/2025 14:44,201997,197936,384
28/5/2025 14:44,201953,197924,332
28/5/2025 14:44,202061,197925,385
28/5/2025 14:44,202055,197892,378
28/5/2025 14:44,202148,197934,413
28/5/2025 14:44,202045,197970,372
28/5/2025 14:44,202044,197971,381
28/5/2025 14:44,201906,197855,385
28/5/2025 14:44,201592,197680,378
28/5/2025 14:44,201211,197536,348
28/5/2025 14:44,200844,197401,402
28/5/2025 14:44,200392,197235,372
28/5/2025 14:44,200121,197151,392
28/5/2025 14:44,199976,197047,408
28/5/2025 14:44,199863,197056,391
28/5/2025 14:44,199820,197064,383
28/5/2025 14:44,199856,197093,375
28/5/2025 14:44,199866,197109,377
28/5/2025 14:44,200005,197181,361
28/5/2025 14:44,200102,197119,388
28/5/2025 14:44,200242,197231,384
